Source Plate,Source Plate Type,Source Well,Sample ID,Destination Plate Name,Destination Well,Transfer Volume,Sample Comment
Source[1],384PP_AQ_BP,D05,GFP Plasmid,Nunc_384_black_glassbottom,B1,75,Actual concentration: 1.04
Source[1],384PP_AQ_BP,D05,GFP Plasmid,Nunc_384_black_glassbottom,B2,75,Actual concentration: 1.04
Source[1],384PP_AQ_BP,D05,GFP Plasmid,Nunc_384_black_glassbottom,B3,75,Actual concentration: 1.04
Source[1],384PP_AQ_BP,D05,GFP Plasmid,Nunc_384_black_glassbottom,B4,75,Actual concentration: 1.04
Source[1],384PP_AQ_BP,D05,GFP Plasmid,Nunc_384_black_glassbottom,B5,75,Actual concentration: 1.04
Source[1],384PP_AQ_BP,D05,GFP Plasmid,Nunc_384_black_glassbottom,C1,150,Actual concentration: 2.09
Source[1],384PP_AQ_BP,D05,GFP Plasmid,Nunc_384_black_glassbottom,C2,150,Actual concentration: 2.09
Source[1],384PP_AQ_BP,D05,GFP Plasmid,Nunc_384_black_glassbottom,C3,150,Actual concentration: 2.09
Source[1],384PP_AQ_BP,D05,GFP Plasmid,Nunc_384_black_glassbottom,C4,150,Actual concentration: 2.09
Source[1],384PP_AQ_BP,D05,GFP Plasmid,Nunc_384_black_glassbottom,C5,150,Actual concentration: 2.09
Source[1],384PP_AQ_BP,D05,GFP Plasmid,Nunc_384_black_glassbottom,D1,225,Actual concentration: 3.13
Source[1],384PP_AQ_BP,D05,GFP Plasmid,Nunc_384_black_glassbottom,D2,225,Actual concentration: 3.13
Source[1],384PP_AQ_BP,D05,GFP Plasmid,Nunc_384_black_glassbottom,D3,225,Actual concentration: 3.13
Source[1],384PP_AQ_BP,D05,GFP Plasmid,Nunc_384_black_glassbottom,D4,225,Actual concentration: 3.13
Source[1],384PP_AQ_BP,D05,GFP Plasmid,Nunc_384_black_glassbottom,D5,225,Actual concentration: 3.13
Source[1],384PP_AQ_BP,D05,GFP Plasmid,Nunc_384_black_glassbottom,E1,300,Actual concentration: 4.17
Source[1],384PP_AQ_BP,D05,GFP Plasmid,Nunc_384_black_glassbottom,E2,300,Actual concentration: 4.17
Source[1],384PP_AQ_BP,D05,GFP Plasmid,Nunc_384_black_glassbottom,E3,300,Actual concentration: 4.17
Source[1],384PP_AQ_BP,D05,GFP Plasmid,Nunc_384_black_glassbottom,E4,300,Actual concentration: 4.17
Source[1],384PP_AQ_BP,D05,GFP Plasmid,Nunc_384_black_glassbottom,E5,300,Actual concentration: 4.17
Source[1],384PP_AQ_BP,D05,GFP Plasmid,Nunc_384_black_glassbottom,F1,350,Actual concentration: 4.87
