Source Plate,Source Plate Type,Source Well,Sample ID,Destination Plate Name,Destination Well,Transfer Volume,Sample Comment
Source[1],384PP_AQ_BP,D24,Cavendish,Nunc_384_black_glassbottom,D2,100,Actual concentration: 1.00
Source[1],384PP_AQ_BP,D24,Cavendish,Nunc_384_black_glassbottom,D3,100,Actual concentration: 1.00
Source[1],384PP_AQ_BP,D24,Cavendish,Nunc_384_black_glassbottom,E2,100,Actual concentration: 1.00
Source[1],384PP_AQ_BP,D24,Cavendish,Nunc_384_black_glassbottom,E3,100,Actual concentration: 1.00
Source[1],384PP_AQ_BP,E05,Gros Michel,Nunc_384_black_glassbottom,F5,300,Actual concentration: 3.00
Source[1],384PP_AQ_BP,E07,Salt Water,Nunc_384_black_glassbottom,D2,9900,Actual concentration: 0.99
Source[1],384PP_AQ_BP,E07,Salt Water,Nunc_384_black_glassbottom,D3,9900,Actual concentration: 0.99
Source[1],384PP_AQ_BP,E07,Salt Water,Nunc_384_black_glassbottom,E2,9900,Actual concentration: 0.99
Source[1],384PP_AQ_BP,E07,Salt Water,Nunc_384_black_glassbottom,E3,9900,Actual concentration: 0.99
Source[1],384PP_AQ_BP,E07,Salt Water,Nunc_384_black_glassbottom,F5,4400,Actual concentration: 0.44
Source[1],384PP_AQ_BP,E08,Salt Water,Nunc_384_black_glassbottom,F5,5300,Actual concentration: 0.53
Source[1],384PP_AQ_BP,E08,Salt Water,Nunc_384_black_glassbottom,E4,9500,Actual concentration: 0.95
