Source Plate,Source Plate Type,Source Well,Sample ID,Destination Plate Name,Destination Well,Transfer Volume,Sample Comment
Source[1],384PP_AQ_BP,F23,Mg,Nunc_384_black_glassbottom,A1,150,Actual concentration: 3.00
Source[1],384PP_AQ_BP,F23,Mg,Nunc_384_black_glassbottom,A2,150,Actual concentration: 3.00
Source[1],384PP_AQ_BP,F23,Mg,Nunc_384_black_glassbottom,A3,150,Actual concentration: 3.00
Source[1],384PP_AQ_BP,F23,Mg,Nunc_384_black_glassbottom,A4,150,Actual concentration: 3.00
Source[1],384PP_AQ_BP,F23,Mg,Nunc_384_black_glassbottom,A5,150,Actual concentration: 3.00
Source[1],384PP_AQ_BP,F23,Mg,Nunc_384_black_glassbottom,B1,250,Actual concentration: 5.00
Source[1],384PP_AQ_BP,F23,Mg,Nunc_384_black_glassbottom,B2,250,Actual concentration: 5.00
Source[1],384PP_AQ_BP,F23,Mg,Nunc_384_black_glassbottom,B3,250,Actual concentration: 5.00
Source[1],384PP_AQ_BP,F23,Mg,Nunc_384_black_glassbottom,B4,250,Actual concentration: 5.00
Source[1],384PP_AQ_BP,F23,Mg,Nunc_384_black_glassbottom,B5,250,Actual concentration: 5.00
Source[1],384PP_AQ_BP,F23,Mg,Nunc_384_black_glassbottom,C1,350,Actual concentration: 7.00
Source[1],384PP_AQ_BP,F23,Mg,Nunc_384_black_glassbottom,C2,350,Actual concentration: 7.00
Source[1],384PP_AQ_BP,F23,Mg,Nunc_384_black_glassbottom,C3,350,Actual concentration: 7.00
Source[1],384PP_AQ_BP,F23,Mg,Nunc_384_black_glassbottom,C4,350,Actual concentration: 7.00
Source[1],384PP_AQ_BP,F23,Mg,Nunc_384_black_glassbottom,C5,350,Actual concentration: 7.00
Source[1],384PP_AQ_BP,F23,Mg,Nunc_384_black_glassbottom,D1,450,Actual concentration: 9.00
Source[1],384PP_AQ_BP,F23,Mg,Nunc_384_black_glassbottom,D2,450,Actual concentration: 9.00
Source[1],384PP_AQ_BP,F23,Mg,Nunc_384_black_glassbottom,D3,450,Actual concentration: 9.00
Source[1],384PP_AQ_BP,F23,Mg,Nunc_384_black_glassbottom,D4,450,Actual concentration: 9.00
Source[1],384PP_AQ_BP,F23,Mg,Nunc_384_black_glassbottom,D5,450,Actual concentration: 9.00
