Source Plate,Source Plate Type,Source Well,Sample ID,Destination Plate Name,Destination Well,Transfer Volume,Sample Comment
Source[1],384PP_AQ_BP,A01,txtl_mm,Nunc_384_black_glassbottom,A1,3450,
Source[1],384PP_AQ_BP,A01,txtl_mm,Nunc_384_black_glassbottom,A2,3450,
Source[1],384PP_AQ_BP,A01,txtl_mm,Nunc_384_black_glassbottom,A3,3450,
Source[1],384PP_AQ_BP,A01,txtl_mm,Nunc_384_black_glassbottom,A4,3450,
Source[1],384PP_AQ_BP,A01,txtl_mm,Nunc_384_black_glassbottom,A5,3450,
Source[1],384PP_AQ_BP,A01,txtl_mm,Nunc_384_black_glassbottom,B1,3450,
Source[1],384PP_AQ_BP,A01,txtl_mm,Nunc_384_black_glassbottom,B2,3450,
Source[1],384PP_AQ_BP,A01,txtl_mm,Nunc_384_black_glassbottom,B3,3450,
Source[1],384PP_AQ_BP,A01,txtl_mm,Nunc_384_black_glassbottom,B4,3450,
Source[1],384PP_AQ_BP,A01,txtl_mm,Nunc_384_black_glassbottom,B5,3450,
Source[1],384PP_AQ_BP,A01,txtl_mm,Nunc_384_black_glassbottom,C1,3450,
Source[1],384PP_AQ_BP,A01,txtl_mm,Nunc_384_black_glassbottom,C2,3450,
Source[1],384PP_AQ_BP,A01,txtl_mm,Nunc_384_black_glassbottom,C3,2600,
Source[1],384PP_AQ_BP,A02,txtl_mm,Nunc_384_black_glassbottom,C3,850,
Source[1],384PP_AQ_BP,A02,txtl_mm,Nunc_384_black_glassbottom,C4,3450,
Source[1],384PP_AQ_BP,A02,txtl_mm,Nunc_384_black_glassbottom,C5,3450,
Source[1],384PP_AQ_BP,A02,txtl_mm,Nunc_384_black_glassbottom,D1,3450,
Source[1],384PP_AQ_BP,A02,txtl_mm,Nunc_384_black_glassbottom,D2,3450,
Source[1],384PP_AQ_BP,A02,txtl_mm,Nunc_384_black_glassbottom,D3,3450,
Source[1],384PP_AQ_BP,A02,txtl_mm,Nunc_384_black_glassbottom,D4,3450,
Source[1],384PP_AQ_BP,A02,txtl_mm,Nunc_384_black_glassbottom,D5,3450,
Source[1],384PP_AQ_BP,A02,txtl_mm,Nunc_384_black_glassbottom,E1,3450,
Source[1],384PP_AQ_BP,A02,txtl_mm,Nunc_384_black_glassbottom,E2,3450,
Source[1],384PP_AQ_BP,A02,txtl_mm,Nunc_384_black_glassbottom,E3,3450,
Source[1],384PP_AQ_BP,A02,txtl_mm,Nunc_384_black_glassbottom,E4,3450,
Source[1],384PP_AQ_BP,A02,txtl_mm,Nunc_384_black_glassbottom,E5,3450,
Source[1],384PP_AQ_BP,A02,txtl_mm,Nunc_384_black_glassbottom,F1,1750,
Source[1],384PP_AQ_BP,A03,txtl_mm,Nunc_384_black_glassbottom,F1,1700,
Source[1],384PP_AQ_BP,A05,Mg-Glut,Nunc_384_black_glassbottom,A1,150,Actual concentration: 3.00 nM
Source[1],384PP_AQ_BP,A05,Mg-Glut,Nunc_384_black_glassbottom,A2,150,Actual concentration: 3.00 nM
Source[1],384PP_AQ_BP,A05,Mg-Glut,Nunc_384_black_glassbottom,A3,150,Actual concentration: 3.00 nM
Source[1],384PP_AQ_BP,A05,Mg-Glut,Nunc_384_black_glassbottom,A4,150,Actual concentration: 3.00 nM
Source[1],384PP_AQ_BP,A05,Mg-Glut,Nunc_384_black_glassbottom,A5,150,Actual concentration: 3.00 nM
Source[1],384PP_AQ_BP,A05,Mg-Glut,Nunc_384_black_glassbottom,B1,250,Actual concentration: 5.00 nM
Source[1],384PP_AQ_BP,A05,Mg-Glut,Nunc_384_black_glassbottom,B2,250,Actual concentration: 5.00 nM
